toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source,toxin_type_encoded,binding_type_encoded,binding_site_encoded
Snake Venom Serine Protease,Mixed,-0.3756961657336352,CDR-H3,NP_001310176.1,9CU6_G,real,5,3,2
Snake Venom Metalloproteinase,Mixed,-0.3461523473795115,Multiple CDRs,A8QL49.1,9MIB_P,real,4,3,14
Three-Finger Toxin,Specific,-0.11285252092004606,Loop I,SYN_TOX_3FTx_10,SYN_MAB_68_H,synthetic,6,4,12
Snake Venom Metalloproteinase,Conformational,-0.09888343289391151,Multiple CDRs,F8S108.1,9MIA_K,real,4,1,14
Phospholipase A2,Conformational,-0.2663519249773406,Multiple CDRs,XCA51350.1,4V1D_A,real,3,1,14
Cysteine-Rich Secretory Protein,Conformational,-0.3593186142547188,CDR-H3,AAL54896.1,9CLP_H,real,0,1,2
Snake Venom Serine Protease,Conformational,-0.3771412438053042,CDR-H3,NP_001310176.1,1CDQ_A,real,5,1,2
Snake Venom Serine Protease,Linear,-0.42258092094778793,Multiple CDRs,Q072L6.1,4V1D_D,real,5,2,14
Cysteine-Rich Secretory Protein,Linear,-0.018119625110627844,CDR-H3,XP_026549114.1,P00740.2,real,0,2,2
Snake Venom Serine Protease,Linear,-0.17194015762829334,CDR-H3,A7LAC7.1,9CLP_C,real,5,2,2
Snake Venom Metalloproteinase,Conformational,-0.1772387772244133,Multiple CDRs,P0DM87.1,6IOM_A,real,4,1,14
Cysteine-Rich Secretory Protein,Conformational,-0.27229280149420243,CDR-H3,XP_026568633.1,P00740.2,real,0,1,2
Phospholipase A2,Linear,-0.2430701116004497,CDR-H3,KAG5858194.1,6ION_A,real,3,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.20549808173705333,Multiple CDRs,XP_070588618.1,NP_000602.1,real,0,3,14
Snake Venom Metalloproteinase,Mixed,-0.3861328406956897,CDR-H3,P0DQT6.1,4V1D_E,real,4,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.24146446929859516,CDR-H3,XP_026568633.1,Q9HCN6.4,real,0,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.3495241962134061,CDR-H3,ATU85541.1,1CDQ_A,real,0,3,2
Snake Venom Metalloproteinase,Mixed,0.41155025486564856,Multiple CDRs,U5PZ28.1,9CU5_J,real,4,3,14
Cysteine-Rich Secretory Protein,Conformational,-0.30569016137277705,Multiple CDRs,CAP74088.1,9MI0_P,real,0,1,14
Phospholipase A2,Specific,-0.2846562472184824,Hydrophobic Channel,SYN_TOX_PLA2_29,SYN_MAB_63_H,synthetic,3,4,9
Snake Venom Metalloproteinase,Conformational,-0.2730956226451297,CDR-H3,P0DL29.1,4V1D_E,real,4,1,2
Snake Venom Metalloproteinase,Linear,-0.28658301798070784,Multiple CDRs,J3SDW8.1,NP_001265043.1,real,4,2,14
Disintegrin,Specific,-0.3135578086518643,C-terminal Region,SYN_TOX_DIS_48,SYN_MAB_13_H,synthetic,1,4,0
Snake Venom Metalloproteinase,Conformational,-0.2867435822108934,CDR-H3,P0DM89.1,4V1D_A,real,4,1,2
Snake Venom Metalloproteinase,Conformational,-0.41134142483480607,Multiple CDRs,J3S829.1,6IOM_B,real,4,1,14
Snake Venom Metalloproteinase,Conformational,-0.3617270777075006,CDR-H3,A2TK72.1,NP_000602.1,real,4,1,2
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,1.3161691277304997,Multiple epitopes,SYN_TOX_KSPI_152,SYN_MAB_18_H,synthetic,2,0,15
Snake Venom Metalloproteinase,Linear,-0.38854130414847154,Multiple CDRs,F8RKV9.1,4V1D_B,real,4,2,14
Cysteine-Rich Secretory Protein,Conformational,-0.33507341549671515,CDR-H3,XP_026568636.1,1CDQ_A,real,0,1,2
Cysteine-Rich Secretory Protein,Conformational,-0.4212964071063043,Multiple CDRs,6IMF_A,4V1D_B,real,0,1,14
Snake Venom Serine Protease,Conformational,-0.42916405438539157,CDR-H3,E5L0E6.1,4V1D_B,real,5,1,2
Disintegrin,Broad-spectrum,2.1157789940540637,Multiple epitopes,SYN_TOX_DIS_69,SYN_MAB_61_H,synthetic,1,0,15
Snake Venom Serine Protease,Specific,-0.3007126702370279,Substrate Binding Site,SYN_TOX_SVSP_151,SYN_MAB_90_H,synthetic,5,4,19
Cysteine-Rich Secretory Protein,Specific,-0.03257040582731879,CAP Domain,SYN_TOX_CRISP_168,SYN_MAB_31_H,synthetic,0,4,1
Snake Venom Serine Protease,Linear,-0.40572167677831517,CDR-H3,Q6T5L0.2,9MIA_L,real,5,2,2
Phospholipase A2,Broad-spectrum,2.748402060984754,Multiple epitopes,SYN_TOX_PLA2_29,SYN_MAB_107_H,synthetic,3,0,15
Phospholipase A2,Broad-spectrum,3.6507730346270084,Multiple epitopes,SYN_TOX_PLA2_50,SYN_MAB_75_H,synthetic,3,0,15
Snake Venom Metalloproteinase,Mixed,-0.04605780116289697,Multiple CDRs,A8QL59.1,6IOM_B,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.39480330912570427,Multiple CDRs,P0CJ41.1,4V1D_E,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.4349443666720679,Multiple CDRs,P0DM87.1,6ION_A,real,4,1,14
Snake Venom Metalloproteinase,Linear,0.016080555918873963,Multiple CDRs,J9Z332.1,Q9HCN6.4,real,4,2,14
Snake Venom Serine Protease,Linear,-0.10402148825984606,CDR-H3,B0FXM1.1,6IOM_A,real,5,2,2
Snake Venom Metalloproteinase,Linear,-0.4066850621594279,CDR-H3,P84035.1,4V1D_D,real,4,2,2
Snake Venom Serine Protease,Conformational,-0.353377737737857,CDR-H3,Q9I8X1.2,4V1D_A,real,5,1,2
Snake Venom Serine Protease,Mixed,-0.19522197100518424,CDR-H3,Q8UUJ1.2,9CLP_H,real,5,3,2
Snake Venom Metalloproteinase,Linear,-0.42033302172519155,CDR-H3,J3S829.1,9CLP_L,real,4,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.3838849414730934,Multiple CDRs,CAP74089.1,4V1D_B,real,0,3,14
Snake Venom Serine Protease,Conformational,-0.38773848299754426,CDR-H3,A8QL53.1,6ION_A,real,5,1,2
Snake Venom Serine Protease,Linear,0.03920180506557944,CDR-H3,D8MIA0.1,9MIA_R,real,5,2,2
Snake Venom Serine Protease,Conformational,-0.2557546857851006,Multiple CDRs,B0ZT25.1,1CDR_A,real,5,1,14
Snake Venom Serine Protease,Conformational,-0.20678259557853698,Multiple CDRs,Q6T5L0.2,Q9HCN6.4,real,5,1,14
Snake Venom Metalloproteinase,Linear,0.7357294356100813,Multiple CDRs,F8RKW0.1,4V1D_A,real,4,2,14
Snake Venom Metalloproteinase,Linear,-0.38308212032216604,CDR-H3,J3SDW8.1,9CLP_L,real,4,2,2
Snake Venom Serine Protease,Conformational,-0.3824398634014243,Multiple CDRs,P85109.1,9CLP_L,real,5,1,14
Cysteine-Rich Secretory Protein,Broad-spectrum,4.151733432805628,Multiple epitopes,SYN_TOX_CRISP_182,SYN_MAB_117_H,synthetic,0,0,15
Snake Venom Metalloproteinase,Mixed,0.6284725298461977,Multiple CDRs,O42138.1,NP_001455.3,real,4,3,14
Cysteine-Rich Secretory Protein,Specific,-0.22524748204986425,Ion Channel Binding Region,SYN_TOX_CRISP_84,SYN_MAB_5_H,synthetic,0,4,11
Kunitz-type Serine Protease Inhibitor,Linear,-0.41037803945369333,CDR-H3,AEI52542.1,Q9HCN6.4,real,2,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.38549058377494794,CDR-H3,AAP20602.1,4V1D_E,real,0,3,2
Snake Venom Serine Protease,Linear,-0.35096927428507513,Multiple CDRs,B5U6Y3.1,9MIA_R,real,5,2,14
Phospholipase A2,Conformational,-0.3901469464503261,CDR-H3,XCA51214.1,4V1D_A,real,3,1,2
Cysteine-Rich Secretory Protein,Conformational,-0.3347522870363443,Multiple CDRs,XP_026547764.1,9CLP_L,real,0,1,14
Snake Venom Metalloproteinase,Mixed,-0.40620336946887153,Multiple CDRs,A8QL49.1,4V1D_A,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.3416565489343188,Multiple CDRs,Q072L6.1,4V1D_A,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.411662553295177,CDR-H3,P0DM89.1,4V1D_E,real,4,1,2
Snake Venom Serine Protease,Linear,-0.16070066151531154,Multiple CDRs,P85109.1,6IOM_B,real,5,2,14
Disintegrin,Broad-spectrum,3.3376727857653723,Multiple epitopes,SYN_TOX_DIS_104,SYN_MAB_120_H,synthetic,1,0,15
Snake Venom Metalloproteinase,Conformational,-0.34181711316450425,CDR-H3,Q9PW36.1,6ION_A,real,4,1,2
Snake Venom Serine Protease,Mixed,-0.363974976930097,CDR-H3,P0C5B4.2,9CLP_H,real,5,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.18928109448832245,CDR-H3,XP_013911763.1,4V1D_A,real,0,3,2
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,1.8331859489276634,Multiple epitopes,SYN_TOX_KSPI_75,SYN_MAB_56_H,synthetic,2,0,15
Cysteine-Rich Secretory Protein,Linear,-0.31821417132724245,Multiple CDRs,XP_039204466.1,9MIA_P,real,0,2,14
Snake Venom Metalloproteinase,Mixed,-0.3456706546889552,CDR-H3,J3SDW8.1,NP_001455.3,real,4,3,2
Three-Finger Toxin,Broad-spectrum,4.415058770309773,Multiple epitopes,SYN_TOX_3FTx_10,SYN_MAB_139_H,synthetic,6,0,15
Cysteine-Rich Secretory Protein,Conformational,-0.40379490601608975,CDR-H3,6IMF_A,9MII_H,real,0,1,2
Snake Venom Serine Protease,Linear,-0.13517094891582426,CDR-H3,P0DL27.1,1CDR_A,real,5,2,2
Cysteine-Rich Secretory Protein,Mixed,0.016241120149059384,Multiple CDRs,XP_058038736.1,4V1D_A,real,0,3,14
Snake Venom Metalloproteinase,Linear,-0.3976934652690424,Multiple CDRs,F8S108.1,9CU5_D,real,4,2,14
Cysteine-Rich Secretory Protein,Linear,-0.201483975982417,Multiple CDRs,XP_026549114.1,6IOM_A,real,0,2,14
Snake Venom Metalloproteinase,Mixed,-0.11076518592763518,Multiple CDRs,A3R0T9.1,NP_001455.3,real,4,3,14
Cysteine-Rich Secretory Protein,Mixed,0.06328643959339762,CDR-H3,XP_026546646.1,9CLP_H,real,0,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.35000588890396245,CDR-H3,AAP20603.1,8SXP_L,real,0,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.1753120064621879,Multiple CDRs,CAP74088.1,6ION_A,real,0,1,14
Snake Venom Metalloproteinase,Conformational,-0.13565264160638058,CDR-H3,F8S108.1,NP_001265043.1,real,4,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.41021747522350793,CDR-H3,XP_013911763.1,NP_000602.1,real,0,3,2
Snake Venom Serine Protease,Linear,-0.30777749636518786,CDR-H3,P0DJF5.1,1CDR_A,real,5,2,2
Snake Venom Metalloproteinase,Specific,-0.2573603280869552,Substrate Recognition Site,SYN_TOX_SVMP_93,SYN_MAB_19_H,synthetic,4,4,20
Cysteine-Rich Secretory Protein,Conformational,-0.4111808606046206,CDR-H3,KAG8124478.1,1CDQ_A,real,0,1,2
Snake Venom Serine Protease,Conformational,-0.3260818186063297,Multiple CDRs,F8S114.1,4V1D_D,real,5,1,14
Snake Venom Metalloproteinase,Linear,-0.40877239715183883,CDR-H3,J3S829.1,NP_001265043.1,real,4,2,2
Three-Finger Toxin,Specific,-0.21400798593688242,Loop I,SYN_TOX_3FTx_17,SYN_MAB_78_H,synthetic,6,4,12
Phospholipase A2,Linear,-0.3755356015034497,Multiple CDRs,AAB28454.1,1CDQ_A,real,3,2,14
Snake Venom Serine Protease,Conformational,-0.03658451158195515,Multiple CDRs,E5L0E6.1,P13987.1,real,5,1,14
Cysteine-Rich Secretory Protein,Linear,-0.22958271626487153,CDR-H3,KAG8124480.1,9MI0_K,real,0,2,2
Snake Venom Metalloproteinase,Conformational,-0.1674443591831006,Multiple CDRs,Q5XUW8.1,6ION_A,real,4,1,14
Snake Venom Metalloproteinase,Conformational,-0.40893296138202423,Multiple CDRs,P82942.1,NP_001265043.1,real,4,1,14
Snake Venom Metalloproteinase,Mixed,-0.3878990472277297,CDR-H3,Q9W7S2.1,1CDQ_A,real,4,3,2
Snake Venom Serine Protease,Mixed,-0.37328770228085334,CDR-H3,E0Y421.1,1CDR_A,real,5,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.2151319355481806,Multiple CDRs,XP_026568636.1,9CLP_C,real,0,1,14
Three-Finger Toxin,Specific,-0.11766944782560972,Loop I,SYN_TOX_3FTx_115,SYN_MAB_70_H,synthetic,6,4,12
Three-Finger Toxin,Broad-spectrum,3.6122376193825,Multiple epitopes,SYN_TOX_3FTx_143,SYN_MAB_117_H,synthetic,6,0,15
Snake Venom Serine Protease,Conformational,0.061199104600986674,CDR-H3,P0DJF5.1,6IOM_A,real,5,1,2
Phospholipase A2,Mixed,-0.2265319958913479,Multiple CDRs,AAB33759.1,Q9HCN6.4,real,3,3,14
Phospholipase A2,Specific,-0.2910788164259006,Enzymatic Site,SYN_TOX_PLA2_71,SYN_MAB_10_H,synthetic,3,4,7
Snake Venom Serine Protease,Conformational,0.13361357241462665,CDR-H3,P0DL27.1,9MIB_N,real,5,1,2
Snake Venom Serine Protease,Linear,-0.036263383121584246,CDR-H3,Q27J47.1,9CLP_H,real,5,2,2
Snake Venom Serine Protease,Mixed,-0.3545016873491552,CDR-H3,P0C5B4.2,8TO9_C,real,5,3,2
Snake Venom Serine Protease,Mixed,-0.1772387772244133,Multiple CDRs,P81824.2,Q9HCN6.4,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.42065415018556246,Multiple CDRs,P0DM97.1,Q9HCN6.4,real,4,1,14
Phospholipase A2,Broad-spectrum,0.720475833742463,Multiple epitopes,SYN_TOX_PLA2_78,SYN_MAB_98_H,synthetic,3,0,15
Phospholipase A2,Broad-spectrum,6.414083436118682,Multiple epitopes,SYN_TOX_PLA2_155,SYN_MAB_139_H,synthetic,3,0,15
Snake Venom Metalloproteinase,Specific,0.13602203586740855,Zinc Binding Site,SYN_TOX_SVMP_177,SYN_MAB_123_H,synthetic,4,4,21
Phospholipase A2,Mixed,-0.3687919038356607,CDR-H3,AAB28455.1,8SXP_H,real,3,3,2
Phospholipase A2,Mixed,-0.355143944269897,CDR-H3,AAB36471.1,Q9HCN6.4,real,3,3,2
Disintegrin,Linear,0.3974206026093285,CDR-H3,AAB27210.1,4V1D_B,real,1,2,2
Snake Venom Metalloproteinase,Linear,-0.2445151896721188,CDR-H3,J3S830.1,4V1D_D,real,4,2,2
Snake Venom Metalloproteinase,Linear,-0.07158751376238424,Multiple CDRs,A2TK72.1,9CLP_L,real,4,2,14
Snake Venom Metalloproteinase,Broad-spectrum,6.446196282155773,Multiple epitopes,SYN_TOX_SVMP_86,SYN_MAB_33_H,synthetic,4,0,15
Cysteine-Rich Secretory Protein,Mixed,-0.3458312189191406,Multiple CDRs,XP_039185515.1,9CLP_H,real,0,3,14
Snake Venom Serine Protease,Linear,-0.25318565810213334,CDR-H3,Q9I8X1.2,9CU6_F,real,5,2,2
Cysteine-Rich Secretory Protein,Linear,-0.25125888733990787,Multiple CDRs,XP_070812689.1,4V1D_B,real,0,2,14
Snake Venom Metalloproteinase,Mixed,-0.3996202360312679,CDR-H3,F8RKW1.1,9MII_L,real,4,3,2
Snake Venom Metalloproteinase,Conformational,-0.3386058285607952,CDR-H3,J9Z332.1,4V1D_E,real,4,1,2
Disintegrin,Mixed,-0.2151319355481806,CDR-H3,P34182.1,1CDS_A,real,1,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.12473427395376968,CDR-H3,CAP74089.1,9CU6_F,real,0,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.4070061906197988,CDR-H3,XP_039190751.1,Q9HCN6.4,real,0,1,2
Snake Venom Serine Protease,Mixed,-0.3801919641788279,CDR-H3,P0DJF5.1,6ION_A,real,5,3,2
Snake Venom Serine Protease,Mixed,-0.3899863822201406,CDR-H3,Q9I8X1.2,8U9Y_F,real,5,3,2
Disintegrin,Conformational,-0.38211873494105336,CDR-H3,ABD34835.1,9MIB_H,real,1,1,2
Snake Venom Metalloproteinase,Mixed,-0.4066850621594279,CDR-H3,P0DM97.1,4V1D_E,real,4,3,2
Snake Venom Serine Protease,Mixed,-0.29316615141831154,CDR-H3,P0DJF6.1,P00740.2,real,5,3,2
Snake Venom Metalloproteinase,Specific,0.04289478235984485,Zinc Binding Site,SYN_TOX_SVMP_93,SYN_MAB_113_H,synthetic,4,4,21
Cysteine-Rich Secretory Protein,Specific,-0.12569765933488244,CAP Domain,SYN_TOX_CRISP_133,SYN_MAB_124_H,synthetic,0,4,1
Cysteine-Rich Secretory Protein,Linear,0.48476754383021586,Multiple CDRs,XP_026568636.1,6ION_A,real,0,2,14
Snake Venom Metalloproteinase,Conformational,-0.10530600210132966,CDR-H3,V5TBK6.1,4V1D_D,real,4,1,2
Snake Venom Serine Protease,Conformational,-0.41551609481962787,CDR-H3,P0DJF6.1,1CDS_A,real,5,1,2
Snake Venom Serine Protease,Linear,-0.3018366198483261,Multiple CDRs,F8S114.1,8SXP_H,real,5,2,14
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,2.181610328430099,Multiple epitopes,SYN_TOX_KSPI_152,SYN_MAB_98_H,synthetic,2,0,15
Snake Venom Serine Protease,Linear,-0.22877989511394425,Multiple CDRs,P0CG03.1,1CDS_A,real,5,2,14
Cysteine-Rich Secretory Protein,Linear,-0.4253105128609407,Multiple CDRs,ATU85541.1,4V1D_E,real,0,2,14
Cysteine-Rich Secretory Protein,Conformational,-0.23584472124210426,CDR-H3,6IMF_A,8SXP_L,real,0,1,2
Phospholipase A2,Conformational,-0.3310593097420788,Multiple CDRs,AAB28455.1,9B7R_L,real,3,1,14
Phospholipase A2,Mixed,-0.3519326596661879,CDR-H3,AAB36471.1,8SXP_H,real,3,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.4021892637142352,Multiple CDRs,XP_034288380.1,1CDQ_A,real,0,1,14
Cysteine-Rich Secretory Protein,Conformational,-0.37730180803548974,Multiple CDRs,XP_013911769.1,8TO9_J,real,0,1,14
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,1.8749326487758815,Multiple epitopes,SYN_TOX_KSPI_110,SYN_MAB_28_H,synthetic,2,0,15
Snake Venom Serine Protease,Mixed,-0.30456621176147886,CDR-H3,Q9PT51.1,9MIA_L,real,5,3,2
Phospholipase A2,Mixed,0.4821985161472485,Multiple CDRs,XCA51214.1,4V1D_E,real,3,3,14
Snake Venom Metalloproteinase,Mixed,-0.37505390881289336,Multiple CDRs,P0DM89.1,9MIH_L,real,4,3,14
Snake Venom Metalloproteinase,Linear,-0.2427489831400788,Multiple CDRs,Q90ZI3.1,9MIB_L,real,4,2,14
Snake Venom Metalloproteinase,Linear,-0.40283152063497696,CDR-H3,J3SBP9.1,NP_001265042.1,real,4,2,2
Snake Venom Metalloproteinase,Conformational,-0.19746987022778062,CDR-H3,R4NNL0.1,1CDS_A,real,4,1,2
Disintegrin,Specific,-0.08073967488295515,RGD Motif,SYN_TOX_DIS_111,SYN_MAB_147_H,synthetic,1,4,17
Phospholipase A2,Conformational,-0.2771097283997661,CDR-H3,AAB26654.1,8SXP_L,real,3,1,2
Snake Venom Serine Protease,Conformational,-0.38677509761643153,Multiple CDRs,P0CG03.1,4V1D_D,real,5,1,14
Snake Venom Metalloproteinase,Linear,-0.34920306775303517,CDR-H3,Q9W7S2.1,4V1D_B,real,4,2,2
Snake Venom Metalloproteinase,Mixed,0.34106255781423395,CDR-H3,V5TBK6.1,8SXP_L,real,4,3,2
Snake Venom Metalloproteinase,Conformational,-0.2983042067842461,Multiple CDRs,A8QL49.1,9CLP_C,real,4,1,14
Snake Venom Metalloproteinase,Linear,-0.31853529978761336,Multiple CDRs,C0HM67.1,Q9HCN6.4,real,4,2,14
Phospholipase A2,Linear,0.011745321703866697,CDR-H3,XCA51265.1,P13987.1,real,3,2,2
Three-Finger Toxin,Specific,-0.32800858936855515,Central Core,SYN_TOX_3FTx_73,SYN_MAB_41_H,synthetic,6,4,6
Snake Venom Metalloproteinase,Mixed,-0.40572167677831517,Multiple CDRs,O57413.1,Q9HCN6.4,real,4,3,14
Disintegrin,Broad-spectrum,3.254179386068936,Multiple epitopes,SYN_TOX_DIS_174,SYN_MAB_117_H,synthetic,1,0,15
Cysteine-Rich Secretory Protein,Mixed,-0.39673007988792974,CDR-H3,XP_026546646.1,9CLP_L,real,0,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.316287400565017,CDR-H3,XP_039185515.1,9MI0_H,real,0,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.3292931032100388,Multiple CDRs,XP_026547764.1,9B7V_L,real,0,1,14
Snake Venom Metalloproteinase,Mixed,-0.32415504784410426,Multiple CDRs,C0HM67.1,NP_000602.1,real,4,3,14
Snake Venom Metalloproteinase,Linear,-0.2663519249773406,CDR-H3,J9Z332.1,9CU5_D,real,4,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.3591580500245334,Multiple CDRs,BAP39957.1,8TO9_B,real,0,3,14
Snake Venom Serine Protease,Linear,-0.3151634509537188,CDR-H3,D8MIA2.1,9MIB_L,real,5,2,2
Cysteine-Rich Secretory Protein,Linear,-0.21111782979354424,CDR-H3,XP_034288378.1,1CDR_A,real,0,2,2
Snake Venom Serine Protease,Mixed,-0.3920737172125516,CDR-H3,Q27J47.1,9CU6_J,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.22942215203468608,CDR-H3,Q8UUJ2.2,8SXP_L,real,5,1,2
Disintegrin,Broad-spectrum,2.3164842817858817,Multiple epitopes,SYN_TOX_DIS_111,SYN_MAB_81_H,synthetic,1,0,15
Snake Venom Metalloproteinase,Conformational,-0.3789074503373443,Multiple CDRs,P0DL29.1,9CLP_H,real,4,1,14
Snake Venom Metalloproteinase,Linear,-0.2377714920043297,CDR-H3,P14530.3,1CDS_A,real,4,2,2
Snake Venom Serine Protease,Linear,0.007891780179415756,CDR-H3,P84787.1,P00740.2,real,5,2,2
Snake Venom Serine Protease,Linear,0.04514268158244122,Multiple CDRs,B0FXM1.1,9CLP_L,real,5,2,14
Phospholipase A2,Broad-spectrum,3.631505327004754,Multiple epitopes,SYN_TOX_PLA2_57,SYN_MAB_55_H,synthetic,3,0,15
Snake Venom Serine Protease,Mixed,-0.30408451907092243,CDR-H3,P18965.2,Q9HCN6.4,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.41680060866111157,CDR-H3,Q2PQJ3.1,6IOM_A,real,5,1,2
Snake Venom Serine Protease,Specific,0.031655286246863035,Substrate Binding Site,SYN_TOX_SVSP_144,SYN_MAB_103_H,synthetic,5,4,19
Snake Venom Metalloproteinase,Mixed,-0.12248637473117331,Multiple CDRs,J3SBP9.1,1CDR_A,real,4,3,14
Phospholipase A2,Mixed,-0.3130761159613079,CDR-H3,KAG5858194.1,NP_000602.1,real,3,3,2
Disintegrin,Mixed,-0.316287400565017,Multiple CDRs,ABD34834.1,4V1D_A,real,1,3,14
Snake Venom Metalloproteinase,Specific,-0.15941614767382786,Substrate Recognition Site,SYN_TOX_SVMP_72,SYN_MAB_39_H,synthetic,4,4,20
Snake Venom Metalloproteinase,Conformational,-0.4060428052386861,CDR-H3,U5PZ28.1,4V1D_A,real,4,1,2
Snake Venom Metalloproteinase,Specific,0.01720450553017215,Zinc Binding Site,SYN_TOX_SVMP_156,SYN_MAB_113_H,synthetic,4,4,21
Disintegrin,Conformational,-0.3665440046130643,Multiple CDRs,AAB30855.1,P13987.1,real,1,1,14
Snake Venom Serine Protease,Conformational,-0.31564514364427515,Multiple CDRs,E5L0E6.1,4V1D_A,real,5,1,14
Snake Venom Metalloproteinase,Conformational,-0.3557862011906388,Multiple CDRs,A3R0T9.1,9MI0_H,real,4,1,14
Snake Venom Metalloproteinase,Linear,0.6021399960957832,Multiple CDRs,Q9W7S2.1,6IOM_B,real,4,2,14
Snake Venom Metalloproteinase,Conformational,-0.40620336946887153,Multiple CDRs,Q9W7S2.1,9MIB_L,real,4,1,14
Snake Venom Metalloproteinase,Mixed,-0.4060428052386861,CDR-H3,P0C7A9.1,9CLP_L,real,4,3,2
Snake Venom Metalloproteinase,Conformational,-0.41519496635925696,Multiple CDRs,U3KRG1.1,9CLP_C,real,4,1,14
Snake Venom Serine Protease,Conformational,-0.41326819559703154,Multiple CDRs,D8MIA0.1,Q9HCN6.4,real,5,1,14
Phospholipase A2,Linear,-0.2753435218677261,CDR-H3,AAB26654.1,9MIA_P,real,3,2,2
Snake Venom Metalloproteinase,Linear,-0.3116310378896388,Multiple CDRs,Q5XUW8.1,4V1D_A,real,4,2,14
Snake Venom Metalloproteinase,Conformational,-0.31452119403297696,Multiple CDRs,C0L2T8.1,4V1D_A,real,4,1,14
Disintegrin,Mixed,-0.3769806795751188,Multiple CDRs,ABD34834.1,6ION_A,real,1,3,14
Cysteine-Rich Secretory Protein,Mixed,-0.4171217371214824,CDR-H3,XP_026549114.1,9CLP_C,real,0,3,2
Snake Venom Serine Protease,Mixed,-0.32094376324039514,Multiple CDRs,P0C5B4.2,6IOM_A,real,5,3,14
Snake Venom Metalloproteinase,Mixed,-0.42739784785335155,CDR-H3,U5PZ28.1,4V1D_B,real,4,3,2
Disintegrin,Broad-spectrum,3.4131379739525367,Multiple epitopes,SYN_TOX_DIS_139,SYN_MAB_17_H,synthetic,1,0,15
Phospholipase A2,Mixed,-0.17258241454903514,Multiple CDRs,XCA51249.1,1CDQ_A,real,3,3,14
Snake Venom Serine Protease,Conformational,-0.29429010102960973,Multiple CDRs,D8MIA1.1,4V1D_B,real,5,1,14
Snake Venom Serine Protease,Mixed,-0.33924808548153695,Multiple CDRs,Q8UUJ1.2,9CLP_C,real,5,3,14
Snake Venom Serine Protease,Conformational,-0.022775987786006067,CDR-H3,P84787.1,6IOM_A,real,5,1,2
Snake Venom Serine Protease,Linear,-0.3800313999486425,Multiple CDRs,P84788.1,P13987.1,real,5,2,14
Cysteine-Rich Secretory Protein,Linear,-0.028556300072682422,Multiple CDRs,XP_032069593.1,6IOM_A,real,0,2,14
Snake Venom Metalloproteinase,Conformational,-0.034015483898987876,Multiple CDRs,A3R0T9.1,Q9HCN6.4,real,4,1,14
Cysteine-Rich Secretory Protein,Specific,0.12157125515071755,CAP Domain,SYN_TOX_CRISP_140,SYN_MAB_46_H,synthetic,0,4,1
Phospholipase A2,Mixed,0.11225852979996122,CDR-H3,XCA51265.1,1CDS_A,real,3,3,2
Kunitz-type Serine Protease Inhibitor,Specific,-0.24933211657768245,Secondary Contact Site,SYN_TOX_KSPI_68,SYN_MAB_26_H,synthetic,2,4,18
Snake Venom Metalloproteinase,Mixed,-0.3546622515793406,Multiple CDRs,P82942.1,9MIA_H,real,4,3,14
Phospholipase A2,Specific,-0.32640294706670064,Calcium Binding Loop,SYN_TOX_PLA2_197,SYN_MAB_21_H,synthetic,3,4,3
Snake Venom Metalloproteinase,Conformational,-0.4060428052386861,CDR-H3,Q5XUW8.1,9B7V_L,real,4,1,2
Phospholipase A2,Linear,-0.15138793616455515,Multiple CDRs,AAB33760.1,4V1D_A,real,3,2,14
Phospholipase A2,Mixed,-0.37103980305825696,CDR-H3,AAB36472.1,6ION_A,real,3,3,2
Snake Venom Serine Protease,Linear,-0.24258841890989336,Multiple CDRs,A8QL57.1,4V1D_B,real,5,2,14
Snake Venom Metalloproteinase,Conformational,0.04273421812965942,CDR-H3,P84035.1,1CDR_A,real,4,1,2
Snake Venom Metalloproteinase,Linear,-0.38324268455235155,CDR-H3,F8RKW0.1,NP_001455.3,real,4,2,2
