toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Snake Venom Metalloproteinase,Mixed,7.74,CDR-H3,P0DL29.1,6IOM_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,395.5,Multiple epitopes,SYN_TOX_KSPI_159,SYN_MAB_91_H,synthetic
Snake Venom Metalloproteinase,Mixed,1.63,CDR-H3,Q9W7S2.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,19.22,Multiple CDRs,XP_039190751.1,9MIB_H,real
Cysteine-Rich Secretory Protein,Broad-spectrum,415.6,Multiple epitopes,SYN_TOX_CRISP_28,SYN_MAB_119_H,synthetic
Phospholipase A2,Linear,7.16,CDR-H3,AAB36472.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Conformational,12.86,Multiple CDRs,XP_026549114.1,P13987.1,real
Snake Venom Metalloproteinase,Mixed,1.52,Multiple CDRs,A8QL49.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,30.15,Multiple CDRs,O57413.1,P13987.1,real
Disintegrin,Linear,21.29,Multiple CDRs,AAB22478.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Linear,1.35,Multiple CDRs,XP_070812678.1,9B7V_H,real
Cysteine-Rich Secretory Protein,Linear,0.96,CDR-H3,CAP74088.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,17.27,Multiple CDRs,E0Y421.1,8SXP_L,real
Snake Venom Serine Protease,Linear,15.49,CDR-H3,A7LAC7.1,4V1D_A,real
Snake Venom Serine Protease,Linear,2.69,CDR-H3,Q8UUJ2.2,8U9Y_N,real
Snake Venom Metalloproteinase,Conformational,0.56,CDR-H3,P0DM89.1,8SXP_H,real
Phospholipase A2,Linear,5.08,Multiple CDRs,XCA51265.1,4V1D_E,real
Snake Venom Metalloproteinase,Linear,7.81,CDR-H3,C0HM67.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Linear,8.32,CDR-H3,F8RKW0.1,8SXP_L,real
Snake Venom Serine Protease,Conformational,0.56,CDR-H3,P0CG03.1,9MI0_N,real
Phospholipase A2,Mixed,12.55,CDR-H3,AAB28455.1,P00740.2,real
Phospholipase A2,Conformational,3.59,CDR-H3,XCA51265.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Mixed,1.57,CDR-H3,XP_032069584.1,9MIA_L,real
Snake Venom Metalloproteinase,Specific,10.5,Substrate Recognition Site,SYN_TOX_SVMP_184,SYN_MAB_89_H,synthetic
Snake Venom Serine Protease,Linear,41.27,CDR-H3,P0DL27.1,P00740.2,real
Cysteine-Rich Secretory Protein,Conformational,3.08,CDR-H3,XP_039190748.1,4V1D_A,real
Three-Finger Toxin,Broad-spectrum,181.9,Multiple epitopes,SYN_TOX_3FTx_157,SYN_MAB_104_H,synthetic
Phospholipase A2,Conformational,11.38,CDR-H3,AAB33759.1,9MIA_R,real
Snake Venom Serine Protease,Mixed,20.43,Multiple CDRs,C0HLA3.1,9CLP_L,real
Snake Venom Serine Protease,Linear,17.83,CDR-H3,Q27J47.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,11.09,CDR-H3,CAP74088.1,NP_000602.1,real
Snake Venom Serine Protease,Linear,13.42,Multiple CDRs,D8MIA0.1,4V1D_D,real
Disintegrin,Linear,8.96,CDR-H3,P34182.1,4V1D_B,real
Phospholipase A2,Mixed,8.66,Multiple CDRs,XCA51350.1,4V1D_E,real
Snake Venom Serine Protease,Specific,16.7,Substrate Binding Site,SYN_TOX_SVSP_193,SYN_MAB_14_H,synthetic
Snake Venom Serine Protease,Conformational,37.63,CDR-H3,Q8UUJ1.2,9MIB_P,real
Snake Venom Metalloproteinase,Linear,8.08,Multiple CDRs,O42138.1,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,7.4,CDR-H3,Q2EI26.1,NP_001265042.1,real
Cysteine-Rich Secretory Protein,Linear,18.73,Multiple CDRs,XP_034288380.1,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,5.92,CDR-H3,P0C7A9.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Conformational,1.55,Multiple CDRs,XP_039190751.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,5.26,CDR-H3,E0Y419.1,9MIA_K,real
Snake Venom Metalloproteinase,Conformational,8.34,CDR-H3,J3S830.1,NP_000602.1,real
Snake Venom Serine Protease,Specific,22.3,Substrate Binding Site,SYN_TOX_SVSP_18,SYN_MAB_14_H,synthetic
Snake Venom Metalloproteinase,Conformational,1.89,Multiple CDRs,Q698K8.3,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,12.08,Multiple CDRs,A2TK72.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Linear,4.56,CDR-H3,P0C6R9.2,4V1D_B,real
Phospholipase A2,Linear,2.71,CDR-H3,XCA51249.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,16.49,Multiple CDRs,XP_070812678.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Conformational,16.34,CDR-H3,XP_026549114.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Linear,2.28,CDR-H3,XP_026549114.1,9B7R_H,real
Phospholipase A2,Mixed,11.02,Multiple CDRs,AAB26654.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,25.25,Multiple CDRs,A8QL56.1,9MIH_L,real
Disintegrin,Mixed,9.36,CDR-H3,ABD34835.1,6IOM_A,real
Snake Venom Serine Protease,Linear,6.77,CDR-H3,P0DJF6.1,4V1D_D,real
Phospholipase A2,Linear,5.43,CDR-H3,XCA51249.1,9CLP_L,real
Snake Venom Metalloproteinase,Linear,14.23,CDR-H3,Q0NZX6.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,3.56,Multiple CDRs,Q9PT51.1,4V1D_A,real
Three-Finger Toxin,Broad-spectrum,373.7,Multiple epitopes,SYN_TOX_3FTx_108,SYN_MAB_56_H,synthetic
Snake Venom Serine Protease,Linear,2.88,CDR-H3,E5L0E3.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,5.28,CDR-H3,O57413.1,NP_001424713.1,real
Snake Venom Serine Protease,Linear,19.02,CDR-H3,B0ZT25.1,6IOM_B,real
Snake Venom Serine Protease,Linear,1.31,Multiple CDRs,P84788.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,9.56,Multiple CDRs,P0DM97.1,1CDR_A,real
Disintegrin,Specific,23.2,C-terminal Region,SYN_TOX_DIS_181,SYN_MAB_3_H,synthetic
Phospholipase A2,Linear,6.72,Multiple CDRs,XCA51265.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Linear,8.75,CDR-H3,XP_026547764.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,6.76,CDR-H3,P0CJ41.1,P13987.1,real
Snake Venom Serine Protease,Mixed,22.19,Multiple CDRs,C0HLA3.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,4.31,Multiple CDRs,O57413.1,9CU6_K,real
Snake Venom Serine Protease,Mixed,12.7,CDR-H3,C0HK19.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Conformational,6.05,CDR-H3,ATU85541.1,4V1D_B,real
Snake Venom Metalloproteinase,Conformational,26.51,CDR-H3,U3KRG1.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,12.93,Multiple CDRs,R4NNL0.1,1CDQ_A,real
Phospholipase A2,Linear,21.98,Multiple CDRs,XCA51370.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,11.45,Multiple CDRs,V5TBK6.1,P13987.1,real
Cysteine-Rich Secretory Protein,Linear,3.27,Multiple CDRs,XP_015678374.1,4V1D_B,real
Phospholipase A2,Broad-spectrum,408.2,Multiple epitopes,SYN_TOX_PLA2_113,SYN_MAB_107_H,synthetic
Snake Venom Metalloproteinase,Broad-spectrum,202.5,Multiple epitopes,SYN_TOX_SVMP_93,SYN_MAB_117_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,12.17,CDR-H3,XP_039185515.1,P00740.2,real
Snake Venom Serine Protease,Linear,4.96,CDR-H3,D8MIA0.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,5.64,CDR-H3,O93421.2,9CLP_L,real
Snake Venom Serine Protease,Mixed,7.65,Multiple CDRs,P0DJF6.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Linear,13.46,CDR-H3,AAL54918.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,2.1,CDR-H3,A3R0T9.1,4V1D_A,real
Three-Finger Toxin,Specific,27.6,Central Core,SYN_TOX_3FTx_94,SYN_MAB_72_H,synthetic
Snake Venom Metalloproteinase,Mixed,6.38,Multiple CDRs,J3S829.1,9MIB_H,real
Snake Venom Metalloproteinase,Mixed,5.22,CDR-H3,P0DM89.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Conformational,2.97,CDR-H3,AAP20603.1,NP_000602.1,real
Snake Venom Serine Protease,Conformational,5.24,Multiple CDRs,Q5MCS0.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Mixed,13.44,Multiple CDRs,CAP74089.1,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,35.79,Multiple CDRs,R4NNL0.1,8SXP_H,real
Phospholipase A2,Linear,3.43,Multiple CDRs,XCA51249.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,17.67,Multiple CDRs,XP_034288378.1,9MIA_H,real
Cysteine-Rich Secretory Protein,Conformational,8.76,Multiple CDRs,KAG8124483.1,8SXP_H,real
Phospholipase A2,Broad-spectrum,108.8,Multiple epitopes,SYN_TOX_PLA2_71,SYN_MAB_75_H,synthetic
Snake Venom Metalloproteinase,Conformational,14.47,Multiple CDRs,P0DM97.1,8SXP_H,real
Snake Venom Metalloproteinase,Conformational,2.01,Multiple CDRs,R4NNL0.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Mixed,9.35,Multiple CDRs,XP_070812678.1,P13987.1,real
Cysteine-Rich Secretory Protein,Conformational,17.71,CDR-H3,XP_013911769.1,9CU5_D,real
Cysteine-Rich Secretory Protein,Linear,25.5,CDR-H3,XP_013911763.1,1CDQ_A,real
Phospholipase A2,Mixed,5.14,CDR-H3,AAB24834.1,Q9HCN6.4,real
Phospholipase A2,Linear,3.87,Multiple CDRs,AAB25792.1,8U9Y_N,real
Snake Venom Metalloproteinase,Mixed,9.29,CDR-H3,C0L2T8.1,NP_001455.3,real
Snake Venom Metalloproteinase,Linear,1.86,Multiple CDRs,R4NNL0.1,NP_000602.1,real
Snake Venom Serine Protease,Linear,6.23,CDR-H3,Q5MCS0.1,9MIA_N,real
Snake Venom Metalloproteinase,Mixed,9.09,CDR-H3,P84035.1,9B7V_L,real
Phospholipase A2,Conformational,1.84,CDR-H3,XCA51213.1,6ION_A,real
Kunitz-type Serine Protease Inhibitor,Linear,4.28,CDR-H3,AEI52542.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,2.35,CDR-H3,U3KRG1.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Conformational,2.41,Multiple CDRs,XP_026547749.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,9.22,Multiple CDRs,P0CJ41.1,4V1D_A,real
Snake Venom Metalloproteinase,Mixed,7.09,Multiple CDRs,Q2EI26.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,0.87,CDR-H3,J3SDW8.1,4V1D_E,real
Snake Venom Metalloproteinase,Linear,3.2,CDR-H3,F8RKW1.1,1CDS_A,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,41.5,Multiple epitopes,SYN_TOX_KSPI_173,SYN_MAB_119_H,synthetic
Phospholipase A2,Specific,6.1,Calcium Binding Loop,SYN_TOX_PLA2_22,SYN_MAB_146_H,synthetic
Snake Venom Metalloproteinase,Conformational,7.03,Multiple CDRs,J3S829.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,4.8,CDR-H3,P0DM97.1,9B7R_H,real
Snake Venom Metalloproteinase,Linear,6.98,Multiple CDRs,A8QL59.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Mixed,0.64,CDR-H3,XP_026568634.1,9MIB_R,real
Phospholipase A2,Conformational,6.4,CDR-H3,AAB28454.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,6.38,CDR-H3,Q698K8.3,NP_000602.1,real
Phospholipase A2,Conformational,69.16,CDR-H3,AAB36471.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,3.14,Multiple CDRs,F8RKW0.1,6ION_A,real
Cysteine-Rich Secretory Protein,Mixed,8.75,Multiple CDRs,XP_039190748.1,6IOM_A,real
Snake Venom Metalloproteinase,Mixed,3.25,CDR-H3,Q5XUW8.1,6IOM_B,real
Snake Venom Serine Protease,Conformational,27.43,CDR-H3,C0HLA3.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,7.57,Multiple CDRs,P0DM89.1,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,11.68,CDR-H3,F8RKW0.1,9MIA_R,real
Snake Venom Metalloproteinase,Mixed,6.88,CDR-H3,Q0NZX6.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Linear,14.13,CDR-H3,XP_039185515.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,5.92,CDR-H3,XP_032069584.1,4V1D_A,real
Snake Venom Serine Protease,Linear,24.3,CDR-H3,A8QL53.1,1CDQ_A,real
Snake Venom Serine Protease,Mixed,9.22,Multiple CDRs,NP_001310176.1,6IOM_B,real
Snake Venom Metalloproteinase,Specific,15.3,Catalytic Domain,SYN_TOX_SVMP_142,SYN_MAB_1_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,4.25,Multiple CDRs,XP_039190748.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Conformational,23.23,CDR-H3,BAP39957.1,6IOM_B,real
Snake Venom Serine Protease,Linear,2.96,Multiple CDRs,Q2PQJ3.1,9CLP_L,real
Phospholipase A2,Broad-spectrum,207.9,Multiple epitopes,SYN_TOX_PLA2_183,SYN_MAB_28_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,1.28,CDR-H3,XP_026547764.1,4V1D_E,real
Snake Venom Serine Protease,Conformational,2.27,CDR-H3,E5L0E6.1,1CDR_A,real
Snake Venom Metalloproteinase,Broad-spectrum,168.6,Multiple epitopes,SYN_TOX_SVMP_191,SYN_MAB_75_H,synthetic
Phospholipase A2,Mixed,2.0,Multiple CDRs,XCA51353.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,27.45,Multiple CDRs,XP_070812678.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,12.06,Multiple CDRs,XP_039204466.1,P13987.1,real
Snake Venom Serine Protease,Conformational,5.4,CDR-H3,P0DJF5.1,9CLP_C,real
Snake Venom Serine Protease,Linear,10.54,Multiple CDRs,Q5MCS0.1,1CDQ_A,real
Snake Venom Serine Protease,Mixed,19.27,CDR-H3,Q072L6.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,7.98,Multiple CDRs,J9Z332.1,6IOM_B,real
Disintegrin,Specific,17.8,RGD Motif,SYN_TOX_DIS_90,SYN_MAB_125_H,synthetic
Three-Finger Toxin,Specific,2.2,Central Core,SYN_TOX_3FTx_94,SYN_MAB_41_H,synthetic
Disintegrin,Conformational,5.45,CDR-H3,AAB27210.1,9CU5_K,real
Snake Venom Metalloproteinase,Conformational,9.19,CDR-H3,U3KRG1.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,5.17,CDR-H3,XP_058038736.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Specific,2.5,CAP Domain,SYN_TOX_CRISP_168,SYN_MAB_57_H,synthetic
Disintegrin,Broad-spectrum,258.5,Multiple epitopes,SYN_TOX_DIS_97,SYN_MAB_119_H,synthetic
Snake Venom Metalloproteinase,Conformational,7.17,CDR-H3,P0DM97.1,NP_001455.3,real
Phospholipase A2,Specific,0.1,Hydrophobic Channel,SYN_TOX_PLA2_85,SYN_MAB_63_H,synthetic
Three-Finger Toxin,Specific,19.5,Loop I,SYN_TOX_3FTx_94,SYN_MAB_126_H,synthetic
Snake Venom Metalloproteinase,Mixed,13.65,CDR-H3,J9Z332.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Broad-spectrum,354.1,Multiple epitopes,SYN_TOX_CRISP_14,SYN_MAB_119_H,synthetic
Phospholipase A2,Broad-spectrum,31.6,Multiple epitopes,SYN_TOX_PLA2_85,SYN_MAB_43_H,synthetic
Snake Venom Serine Protease,Mixed,6.76,Multiple CDRs,F8S114.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,2.87,Multiple CDRs,XP_026547749.1,6ION_A,real
Phospholipase A2,Linear,17.75,Multiple CDRs,AAB28454.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,3.85,CDR-H3,P0CG03.1,1CDQ_A,real
Snake Venom Serine Protease,Mixed,1.62,Multiple CDRs,P0DJ86.1,1CDS_A,real
Snake Venom Metalloproteinase,Mixed,6.04,Multiple CDRs,A8QL49.1,8SXP_H,real
Phospholipase A2,Mixed,2.73,CDR-H3,AAB33760.1,4V1D_B,real
Snake Venom Metalloproteinase,Conformational,2.69,CDR-H3,Q90ZI3.1,NP_001455.3,real
Phospholipase A2,Linear,23.97,CDR-H3,KAG5858194.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,3.13,Multiple CDRs,XP_026546646.1,1CDR_A,real
Phospholipase A2,Mixed,17.13,Multiple CDRs,AAB25792.1,4V1D_A,real
Phospholipase A2,Linear,21.14,Multiple CDRs,XCA51370.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Conformational,10.87,CDR-H3,KAG8124481.1,9MIA_N,real
Cysteine-Rich Secretory Protein,Conformational,6.96,CDR-H3,XP_039204466.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Conformational,13.85,CDR-H3,KAG8124483.1,Q9HCN6.4,real
Three-Finger Toxin,Broad-spectrum,349.8,Multiple epitopes,SYN_TOX_3FTx_52,SYN_MAB_40_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,7.2,CDR-H3,AAP20602.1,9MIA_P,real
Snake Venom Metalloproteinase,Mixed,6.12,CDR-H3,P0DM87.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,5.3,CDR-H3,J3S829.1,NP_001265042.1,real
Cysteine-Rich Secretory Protein,Linear,2.26,CDR-H3,XP_058038736.1,P13987.1,real
Snake Venom Serine Protease,Mixed,0.44,CDR-H3,P0DL27.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Linear,15.08,CDR-H3,AAL54918.1,9CLP_L,real
Disintegrin,Broad-spectrum,12.5,Multiple epitopes,SYN_TOX_DIS_41,SYN_MAB_91_H,synthetic
Snake Venom Serine Protease,Mixed,13.99,CDR-H3,B0FXM1.1,9MIB_K,real
Snake Venom Serine Protease,Mixed,2.92,CDR-H3,NP_001310176.1,9CU6_F,real
Cysteine-Rich Secretory Protein,Conformational,35.51,Multiple CDRs,ATU85541.1,8SXP_L,real
Snake Venom Serine Protease,Linear,7.3,CDR-H3,C0HLA3.1,9MI0_K,real
Snake Venom Serine Protease,Linear,50.04,CDR-H3,E5L0E4.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Mixed,10.33,CDR-H3,CAP74088.1,4V1D_B,real
Phospholipase A2,Linear,12.03,CDR-H3,AAB28455.1,9CLP_C,real
Snake Venom Serine Protease,Linear,11.76,CDR-H3,D8MIA0.1,1CDQ_A,real
Snake Venom Serine Protease,Conformational,13.17,Multiple CDRs,D8MIA2.1,6IOM_A,real
Disintegrin,Conformational,26.71,CDR-H3,AAB22477.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,18.97,Multiple CDRs,E5L0E4.1,P00740.2,real
Cysteine-Rich Secretory Protein,Mixed,6.58,Multiple CDRs,BAP39923.1,4V1D_E,real
Disintegrin,Mixed,21.93,CDR-H3,AAB27210.1,9MI0_L,real
Snake Venom Metalloproteinase,Mixed,6.99,Multiple CDRs,P0DM87.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,26.62,CDR-H3,XP_026568633.1,9CLP_H,real
Disintegrin,Linear,35.51,CDR-H3,A43020,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,3.32,Multiple CDRs,Q90ZI3.1,4V1D_B,real
Snake Venom Metalloproteinase,Mixed,4.55,CDR-H3,P84035.1,9CU5_J,real
Snake Venom Serine Protease,Conformational,14.9,Multiple CDRs,A8QL57.1,9MIA_H,real
Snake Venom Serine Protease,Mixed,7.09,CDR-H3,B5U6Y3.1,4V1D_A,real
Kunitz-type Serine Protease Inhibitor,Conformational,10.93,Multiple CDRs,AEI52542.1,4V1D_D,real
Disintegrin,Broad-spectrum,393.1,Multiple epitopes,SYN_TOX_DIS_174,SYN_MAB_82_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,30.01,Multiple CDRs,XP_026547764.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Conformational,21.73,CDR-H3,AAP20603.1,4V1D_D,real
Snake Venom Serine Protease,Linear,20.52,Multiple CDRs,A8QL56.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,6.69,CDR-H3,XP_032069593.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,8.87,Multiple CDRs,Q0NZX6.1,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,13.61,CDR-H3,Q2EI26.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,24.72,CDR-H3,Q8UUJ2.2,9CU6_F,real
Snake Venom Serine Protease,Linear,8.0,Multiple CDRs,F8S114.1,1CDR_A,real
Phospholipase A2,Mixed,13.92,CDR-H3,AAB36471.1,6ION_A,real
Snake Venom Serine Protease,Mixed,9.86,CDR-H3,P0CG03.1,1CDR_A,real
Snake Venom Metalloproteinase,Mixed,9.32,Multiple CDRs,J9Z332.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Mixed,13.07,Multiple CDRs,XP_026568634.1,P00740.2,real
Snake Venom Serine Protease,Conformational,55.05,Multiple CDRs,D8MIA1.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,3.58,CDR-H3,Q27J47.1,9MI0_R,real
Cysteine-Rich Secretory Protein,Specific,20.4,Ion Channel Binding Region,SYN_TOX_CRISP_119,SYN_MAB_140_H,synthetic
Snake Venom Serine Protease,Linear,13.62,CDR-H3,P84787.1,8SXP_H,real
Snake Venom Serine Protease,Conformational,6.54,Multiple CDRs,Q072L6.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,8.18,CDR-H3,E0Y419.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Conformational,27.11,CDR-H3,XP_026549114.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Mixed,5.17,Multiple CDRs,Q9PW36.1,9CLP_H,real
Snake Venom Metalloproteinase,Linear,8.18,Multiple CDRs,P0DQT6.1,P00740.2,real
Snake Venom Metalloproteinase,Mixed,14.8,CDR-H3,U3KRG1.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,7.47,CDR-H3,O42138.1,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Linear,2.85,Multiple CDRs,AAL54896.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,4.83,CDR-H3,XP_015678374.1,P00740.2,real
Cysteine-Rich Secretory Protein,Mixed,31.94,Multiple CDRs,XP_070812678.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,3.31,CDR-H3,B0FXM1.1,9MIA_H,real
Snake Venom Metalloproteinase,Mixed,8.31,CDR-H3,J9Z332.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,9.53,CDR-H3,J3S830.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Mixed,7.12,CDR-H3,XP_032069584.1,9CLP_C,real
Snake Venom Metalloproteinase,Mixed,5.16,Multiple CDRs,P0C6R9.2,9B7R_H,real
Cysteine-Rich Secretory Protein,Linear,80.11,CDR-H3,CAP74088.1,4V1D_E,real
Phospholipase A2,Specific,26.4,Enzymatic Site,SYN_TOX_PLA2_50,SYN_MAB_52_H,synthetic
Snake Venom Metalloproteinase,Conformational,1.79,CDR-H3,Q698K8.3,6ION_A,real
Snake Venom Metalloproteinase,Mixed,7.82,CDR-H3,P14530.3,NP_001265043.1,real
Snake Venom Metalloproteinase,Mixed,7.89,CDR-H3,A8QL59.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,8.2,CDR-H3,XP_013911763.1,9CLP_L,real
Snake Venom Metalloproteinase,Broad-spectrum,12.8,Multiple epitopes,SYN_TOX_SVMP_170,SYN_MAB_81_H,synthetic
Snake Venom Metalloproteinase,Conformational,2.33,Multiple CDRs,A2TK72.1,9CU6_G,real
Snake Venom Metalloproteinase,Specific,13.1,Zinc Binding Site,SYN_TOX_SVMP_23,SYN_MAB_138_H,synthetic
Snake Venom Metalloproteinase,Conformational,21.79,CDR-H3,J3SDW8.1,1CDS_A,real
Snake Venom Serine Protease,Linear,9.5,Multiple CDRs,A7LAC7.1,1CDQ_A,real
Phospholipase A2,Linear,4.77,Multiple CDRs,AAB20783.1,1CDQ_A,real
Snake Venom Serine Protease,Conformational,6.02,Multiple CDRs,Q5MCS0.1,6ION_A,real
Cysteine-Rich Secretory Protein,Mixed,4.43,CDR-H3,XP_034288378.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Linear,0.62,CDR-H3,XP_026568636.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Linear,3.42,CDR-H3,XP_039190748.1,9CLP_L,real
Snake Venom Serine Protease,Linear,4.13,CDR-H3,A0A1I9KNP0.1,9MI0_K,real
Snake Venom Metalloproteinase,Mixed,17.15,CDR-H3,P0DL29.1,NP_001424713.1,real
Snake Venom Serine Protease,Linear,6.02,CDR-H3,P84787.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Conformational,28.36,Multiple CDRs,KAG8124481.1,6ION_A,real
Phospholipase A2,Linear,13.43,Multiple CDRs,AAB24834.1,9CU5_J,real
Snake Venom Serine Protease,Mixed,8.15,Multiple CDRs,B0FXM1.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,9.09,Multiple CDRs,A8QL53.1,9MIB_N,real
Snake Venom Metalloproteinase,Mixed,2.76,CDR-H3,P0DM87.1,4V1D_A,real
Snake Venom Metalloproteinase,Mixed,30.97,CDR-H3,A2TK72.1,9B7R_H,real
Phospholipase A2,Linear,3.98,CDR-H3,AAB33760.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,5.18,Multiple CDRs,Q9YGJ9.1,4V1D_B,real
Snake Venom Serine Protease,Broad-spectrum,185.7,Multiple epitopes,SYN_TOX_SVSP_4,SYN_MAB_117_H,synthetic
Three-Finger Toxin,Specific,27.2,Loop II,SYN_TOX_3FTx_3,SYN_MAB_130_H,synthetic
Snake Venom Metalloproteinase,Mixed,34.8,Multiple CDRs,Q0NZX6.1,6ION_A,real
Snake Venom Serine Protease,Mixed,9.66,Multiple CDRs,B5U6Y3.1,4V1D_E,real
Disintegrin,Mixed,8.85,CDR-H3,P34182.1,NP_001455.3,real
Three-Finger Toxin,Specific,14.5,Loop I,SYN_TOX_3FTx_185,SYN_MAB_126_H,synthetic
Phospholipase A2,Conformational,7.53,CDR-H3,AAB36472.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Mixed,2.86,CDR-H3,XP_013911769.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,17.75,CDR-H3,P0DL27.1,4V1D_D,real
Disintegrin,Conformational,9.01,CDR-H3,AAB27210.1,9CU6_G,real
Snake Venom Metalloproteinase,Mixed,199.13,CDR-H3,R4NNL0.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Conformational,7.84,Multiple CDRs,XP_026568632.1,6IOM_A,real
